7 6 2025
13 02 10.60 +10 57 32.9 0.30 0.40 (1)Vindemiatrix
15 34 48.15 +10 32 19.9 0.40 0.50 (2)DelSer
14 15 39.67 +19 10 56.7 0.50 1.00 (3)Arcturus
12 20 20.98 +03 18 45.3 1.00 1.10 (4)16Vir
16 43 04.18 +36 30 33.0 1.10 1.20 (5)HD150998
15 34 41.27 +26 42 52.9 1.20 1.30 (6)AlfCrB
17 59 01.59 -09 46 25.1 1.30 1.40 (7)NuOph
00 08 23.26 +29 05 25.6 1.40 1.50 (8)AlfAnd
21 18 11.07 -04 31 10.1 1.50 2.00 (9)15Aqr
21 44 38.74 +25 38 42.1 2.00 2.10 (10)KapPeg
19 55 37.79 +52 26 20.2 2.10 2.20 (11)PsiCyg
18 42 37.96 +55 32 22.0 2.20 2.30 (12)cDra
20 45 39.75 +30 43 11.0 2.30 2.40 (13)52Cyg
02 03 53.95 +42 19 47.0 2.40 2.50 (14)GamAnd
21 47 02.44 -16 07 38.2 2.50 3.00 (15)delCap
21 31 33.53 -05 34 16.2 3.00 3.10 (16)betAqr
23 34 59.04 +71 38 31.4 3.10 3.20 (17)Hd221861
14 44 59.22 +27 04 27.2 3.20 3.30 (18)Izar
13 54 41.08 +18 23 51.8 3.30 3.40 (19)Muphrid
14 14 23.55 +41 31 07.5 3.40 3.50 (20)HD124755
19 48 10.35 +70 16 04.5 3.50 4.00 (21)EpsDra
09 47 18.00 +79 08 11.9 4.00 4.10 (22)HD83727
14 50 42.33 +74 09 19.8 4.10 4.20 (23)Kochab

