105.449 14.994
244.369 15.492
249.305 18.003
260.685 18.775
109.337 45.279
309.084 62.853
291.717 79.160
201.247 75.947
210.115 73.462
282.379 41.492
282.968 43.437
285.929 46.149
287.510 45.890
289.989 13.287
287.056 14.169
286.655 17.041
289.943 18.905
142.379 22.259
66.811 41.483
118.871 52.431
99.238 66.600
341.555 34.601
32.156 59.932
61.337 53.680
61.342 53.801
62.498 52.309
64.898 48.431
134.397 32.329
160.063 74.440
175.988 70.311
181.034 72.551
191.018 47.040
194.785 47.487
196.703 48.573
201.055 49.793
204.460 49.579
229 .058 48.837
198.367 62.248
231.460 52.386
266.522 58.819
234.722 71.272
262.730 26.229
